No	x	y	z	Rx	Ry	Rz
295 -6.87247 -4.65393 -6.01071 90 -55.8947 0
296 -6.54987 -5.09797 -6.01071 90 -52.1053 0
297 -6.19862 -5.5197 -6.01071 90 -48.3158 0
298 -5.82027 -5.91731 -6.01071 90 -44.5263 0
299 -5.41646 -6.28903 -6.01071 90 -40.7368 0
300 -4.98897 -6.63326 -6.01071 90 -36.9474 0
301 -4.53967 -6.94848 -6.01071 90 -33.1579 0
302 -4.07052 -7.23332 -6.01071 90 -29.3684 0
303 -3.58356 -7.48653 -6.01071 90 -25.5789 0
304 -3.08094 -7.707 -6.01071 90 -21.7895 0
305 -2.56484 -7.89377 -6.01071 90 -18 0
306 -2.03753 -8.04602 -6.01071 90 -14.2105 0
307 -1.50131 -8.16309 -6.01071 90 -10.4211 0
308 -0.958522 -8.24447 -6.01071 90 -6.63158 0
309 -0.411545 -8.28979 -6.01071 90 -2.84211 0
310 0.137232 -8.29887 -6.01071 90 0.947368 0
311 0.685409 -8.27165 -6.01071 90 4.73684 0
312 1.23059 -8.20827 -6.01071 90 8.52632 0
313 1.77039 -8.10899 -6.01071 90 12.3158 0
314 2.30244 -7.97426 -6.01071 90 16.1053 0
315 2.82443 -7.80465 -6.01071 90 19.8947 0
316 3.33407 -7.60092 -6.01071 90 23.6842 0
317 3.82913 -7.36395 -6.01071 90 27.4737 0
318 4.30745 -7.09478 -6.01071 90 31.2632 0
319 4.76693 -6.79459 -6.01071 90 35.0526 0
320 5.20556 -6.46468 -6.01071 90 38.8421 0
321 5.62144 -6.10651 -6.01071 90 42.6316 0
322 6.01273 -5.72163 -6.01071 90 46.4211 0
323 6.37773 -5.31174 -6.01071 90 50.2105 0
324 6.71484 -4.87862 -6.01071 90 54 0
325 7.02259 -4.42416 -6.01071 90 57.7895 0
326 7.29963 -3.95036 -6.01071 90 61.5789 0
327 7.54475 -3.45929 -6.01071 90 65.3684 0
328 7.75689 -2.95309 -6.01071 90 69.1579 0
329 7.9351 -2.43398 -6.01071 90 72.9474 0
330 8.07861 -1.90422 -6.01071 90 76.7368 0
331 8.1868 -1.36614 -6.01071 90 80.5263 0
332 8.25919 -0.822078 -6.01071 90 84.3158 0
333 8.29546 -0.274426 -6.01071 90 88.1053 0
334 8.29546 0.274426 -6.01071 90 91.8947 0
335 8.25919 0.822078 -6.01071 90 95.6842 0
336 8.1868 1.36614 -6.01071 90 99.4737 0
337 8.07861 1.90422 -6.01071 90 103.263 0
338 7.9351 2.43398 -6.01071 90 107.053 0
339 7.75689 2.95309 -6.01071 90 110.842 0
340 7.54475 3.45929 -6.01071 90 114.632 0
341 7.29963 3.95036 -6.01071 90 118.421 0
342 7.02259 4.42416 -6.01071 90 122.211 0
343 6.71484 4.87862 -6.01071 90 126 0
344 6.37773 5.31174 -6.01071 90 129.789 0
345 6.01273 5.72163 -6.01071 90 133.579 0
346 5.62144 6.10651 -6.01071 90 137.368 0
347 5.20556 6.46468 -6.01071 90 141.158 0
348 4.76693 6.79459 -6.01071 90 144.947 0
349 4.30745 7.09478 -6.01071 90 148.737 0
350 3.82913 7.36395 -6.01071 90 152.526 0
351 3.33407 7.60092 -6.01071 90 156.316 0
352 2.82443 7.80465 -6.01071 90 160.105 0
353 2.30244 7.97426 -6.01071 90 163.895 0
354 1.77039 8.10899 -6.01071 90 167.684 0
355 1.23059 8.20827 -6.01071 90 171.474 0
356 0.685409 8.27165 -6.01071 90 175.263 0
357 0.137232 8.29887 -6.01071 90 179.053 0
